iter	Logloss
0	0.6891732827
1	0.6854017294
2	0.6811275384
3	0.6767661856
4	0.6723357713
5	0.6687107429
6	0.6656087397
7	0.6622000094
8	0.6592573224
9	0.6565620725
10	0.6539275328
11	0.6508007725
12	0.6473518627
13	0.6442942785
14	0.6410819414
15	0.6385523784
16	0.6352550687
17	0.6309740813
18	0.6276101135
19	0.624477745
20	0.6213660437
21	0.6184142843
22	0.6149011162
23	0.6120389704
24	0.6085555509
25	0.6051345024
26	0.6021697637
27	0.5992247208
28	0.5960205054
29	0.59318016
30	0.5905276834
31	0.5876470565
32	0.5850990681
33	0.5826815081
34	0.5799253858
35	0.5772658255
36	0.5750857775
37	0.5727005641
38	0.5697652634
39	0.5671364119
40	0.5639658812
41	0.5610863355
42	0.5587475717
43	0.5568174989
44	0.5547924459
45	0.5522810725
46	0.5497481825
47	0.5478889578
48	0.5450844954
49	0.5428720835
50	0.5400835482
51	0.5381326562
52	0.5361339127
53	0.5337474074
54	0.5311160902
55	0.5286697993
56	0.5272136958
57	0.5253550229
58	0.5236099921
59	0.5216427881
60	0.5194668331
61	0.5175978209
62	0.5154484046
63	0.5134265014
64	0.5117200602
65	0.5097319393
66	0.5080724029
67	0.5061771857
68	0.5044732717
69	0.5023300643
70	0.5007202116
71	0.4988710046
72	0.497383254
73	0.495019672
74	0.4931763643
75	0.4916703189
76	0.4892797845
77	0.4878091152
78	0.4863955334
79	0.4846590426
80	0.4832146915
81	0.4815049187
82	0.4792921301
83	0.4773334782
84	0.4762327308
85	0.4738443482
86	0.4727613875
87	0.4716434331
88	0.4701334265
89	0.4681240833
90	0.4664559909
91	0.4648050473
92	0.4627919013
93	0.4613343002
94	0.4595676755
95	0.4577571836
96	0.4564624867
97	0.4547086006
98	0.4531959612
99	0.4512504083
100	0.4500918729
101	0.4482149626
102	0.4466678645
103	0.445314749
104	0.4438320209
105	0.4428049244
106	0.4417802513
107	0.4405570815
108	0.4390850737
109	0.4378648876
110	0.4363883696
111	0.4351742492
112	0.4338555423
113	0.4320244639
114	0.4305599029
115	0.4291371368
116	0.4281137665
117	0.4263397882
118	0.4245591859
119	0.4236925247
120	0.422209756
121	0.4210575689
122	0.420082511
123	0.4192148511
124	0.4190336095
125	0.4173912257
126	0.4162345606
127	0.415342654
128	0.414113176
129	0.4127025114
130	0.4113737549
131	0.4100258132
132	0.4088055246
133	0.4075434443
134	0.4062935122
135	0.4051539664
136	0.4040887122
137	0.4027405485
138	0.4014224282
139	0.3999326872
140	0.3988489087
141	0.3969441747
142	0.3957150236
143	0.395010503
144	0.3937132914
145	0.392278508
146	0.3914109179
147	0.3899704439
148	0.388992647
149	0.3879292491
150	0.3868710324
151	0.3856606179
152	0.3845639907
153	0.3831217654
154	0.382338183
155	0.3813091066
156	0.3798558989
157	0.3796324502
158	0.3785469173
159	0.3775238927
160	0.3763085016
161	0.3749105037
162	0.3741942134
163	0.3734716842
164	0.3722482989
165	0.371300673
166	0.3700952291
167	0.3682153893
168	0.3671980571
169	0.3662848282
170	0.3655018498
171	0.3642539405
172	0.3630987229
173	0.3620455307
174	0.3608732208
175	0.3601164124
176	0.3596086888
177	0.3586678113
178	0.3579191233
179	0.3568273079
180	0.3559943654
181	0.3550774747
182	0.3542611556
183	0.3533781241
184	0.3520648635
185	0.3510698778
186	0.3501638262
187	0.3490763712
188	0.3477648904
189	0.3460647294
190	0.345640452
191	0.3444129094
192	0.343799146
193	0.3430181556
194	0.3422141994
195	0.3410774962
196	0.3405536585
197	0.3397064584
198	0.3386630236
199	0.3379755983
200	0.3374821342
201	0.3362569508
202	0.3354027436
203	0.334447544
204	0.3341591459
205	0.3335611775
206	0.332798211
207	0.3323039804
208	0.3311960837
209	0.3301942879
210	0.3296165251
211	0.3289397205
212	0.3281093662
213	0.3272680563
214	0.3262947478
215	0.3249329754
216	0.3243332382
217	0.3232560035
218	0.3225200439
219	0.3215668349
220	0.3205459225
221	0.3198737825
222	0.3193752931
223	0.3185368827
224	0.3178991912
225	0.3172061988
226	0.3166252687
227	0.3161013091
228	0.3152928902
229	0.3145088381
230	0.3136297633
231	0.3129789434
232	0.3119467276
233	0.3113217227
234	0.3105162574
235	0.3099497205
236	0.3091230421
237	0.3085980403
238	0.3076456938
239	0.3071549009
240	0.3063258414
241	0.3055559415
242	0.3049277605
243	0.3042296672
244	0.3031775741
245	0.3025514259
246	0.3019485165
247	0.3015087184
248	0.3004384354
249	0.2993580329
250	0.2986702629
251	0.2977553571
252	0.2972482582
253	0.2968629532
254	0.296178807
255	0.2952348887
256	0.2946125165
257	0.2938325728
258	0.2932643982
259	0.2923046143
260	0.2912714966
261	0.2907015515
262	0.2898938512
263	0.2892967828
264	0.2885525048
265	0.2880187215
266	0.2875720577
267	0.2870592925
268	0.2865712495
269	0.2859290081
270	0.2855368842
271	0.2848314184
272	0.2845001751
273	0.2838942024
274	0.2833345555
275	0.2827335395
276	0.282196524
277	0.2814263825
278	0.2808794313
279	0.2799142466
280	0.2793832242
281	0.2788940794
282	0.2782446191
283	0.2774220404
284	0.2769615352
285	0.2765774392
286	0.2759513696
287	0.2752086248
288	0.274830691
289	0.2741844119
290	0.2736448601
291	0.272972206
292	0.2721984328
293	0.2717671474
294	0.2712908143
295	0.270599565
296	0.2701833465
297	0.269719707
298	0.2688857214
299	0.2682126343
300	0.2678914704
301	0.2671495372
302	0.2666072294
303	0.2664040624
304	0.2657812749
305	0.2653800675
306	0.2648089148
307	0.2642669096
308	0.2635435438
309	0.262958399
310	0.2624539567
311	0.2621853746
312	0.2615639105
313	0.2608386226
314	0.2604157736
315	0.2598014066
316	0.2590267864
317	0.2582188911
318	0.2578366922
319	0.257236029
320	0.256496281
321	0.2558197668
322	0.2552176041
323	0.2546724356
324	0.2543311327
325	0.2537302879
326	0.2528835926
327	0.2521361084
328	0.2513798771
329	0.250623207
330	0.2503245088
331	0.2498925298
332	0.2495768883
333	0.2492245844
334	0.2486472697
335	0.2483275657
336	0.2476715955
337	0.2473068511
338	0.2469990284
339	0.2464928507
340	0.2459551339
341	0.2453907769
342	0.2446703503
343	0.2441442919
344	0.2437932011
345	0.2436362385
346	0.2432750547
347	0.2428269331
348	0.2421298251
349	0.2414574931
350	0.2408597746
351	0.2403921332
352	0.2400391184
353	0.2396858523
354	0.2390993203
355	0.2388156289
356	0.2385230765
357	0.2380972863
358	0.2376522693
359	0.2370200758
360	0.2363640247
361	0.2355660337
362	0.2348943615
363	0.2343837496
364	0.2338827398
365	0.2335820342
366	0.2331650327
367	0.232480347
368	0.2321170057
369	0.2316022434
370	0.2309545803
371	0.2307709008
372	0.2301932819
373	0.2294251546
374	0.2289679369
375	0.2285756693
376	0.2280347754
377	0.2272710255
378	0.2267752026
379	0.2261494403
380	0.2257129778
381	0.2248737871
382	0.2245680687
383	0.2240469912
384	0.2236017815
385	0.2232061521
386	0.2228701264
387	0.2222782914
388	0.2218774838
389	0.2214647126
390	0.2207003245
391	0.2202476551
392	0.219835334
393	0.219267013
394	0.2190096153
395	0.2186213942
396	0.2181276249
397	0.2174780503
398	0.2171793185
399	0.2168817817
400	0.2166433797
401	0.2162550595
402	0.2157827774
403	0.2155563227
404	0.21510445
405	0.2147120777
406	0.2143417744
407	0.2138816985
408	0.2132946633
409	0.2126559639
410	0.2120570659
411	0.2115426075
412	0.2111731861
413	0.2108377426
414	0.2104897014
415	0.2100136357
416	0.2099026091
417	0.2095919696
418	0.2093629313
419	0.2086069829
420	0.2079064732
421	0.2074117911
422	0.2070954996
423	0.2065934945
424	0.2062615273
425	0.2059597473
426	0.205689434
427	0.205347809
428	0.205066276
429	0.2048816472
430	0.2045180128
431	0.2041819738
432	0.20389651
433	0.2035225695
434	0.2031328832
435	0.2028590213
436	0.2026030736
437	0.2023052099
438	0.2018112618
439	0.2012842089
440	0.2010505464
441	0.2006889645
442	0.20033257
443	0.1999500123
444	0.199454748
445	0.198965388
446	0.1982188148
447	0.1978553354
448	0.1976918468
449	0.1972501167
450	0.1968883533
451	0.1965254171
452	0.1960158401
453	0.1955880499
454	0.1951358347
455	0.1948812976
456	0.1945429189
457	0.1940989789
458	0.1934779515
459	0.1930649633
460	0.1928086253
461	0.1924508656
462	0.1921616519
463	0.1916409183
464	0.1913977106
465	0.1911067282
466	0.190660683
467	0.1902457023
468	0.189796801
469	0.1893552151
470	0.1889584048
471	0.1884071467
472	0.188196825
473	0.1879130873
474	0.187647626
475	0.187441298
476	0.1869867399
477	0.1865930466
478	0.186420556
479	0.1858954451
480	0.1857091908
481	0.1854639409
482	0.1852638232
483	0.1850330614
484	0.1848038855
485	0.1845180782
486	0.1840503143
487	0.1836896717
488	0.1833341533
489	0.1830242157
490	0.1827491975
491	0.1825101341
492	0.182103444
493	0.1815812717
494	0.1812113601
495	0.1806466698
496	0.1803409037
497	0.1800928757
498	0.1796894868
499	0.1793996633
500	0.1789047075
501	0.1785134684
502	0.1783109717
503	0.1779858347
504	0.1776908486
505	0.1773140082
506	0.1770609669
507	0.1767162809
508	0.1763912526
509	0.1761264145
510	0.1757171604
511	0.1755636862
512	0.1752702762
513	0.1749094614
514	0.1745356995
515	0.1742817948
516	0.1738903786
517	0.1736652915
518	0.1734355007
519	0.1729410307
520	0.1727652854
521	0.1723812874
522	0.1721178393
523	0.1718582541
524	0.1718328393
525	0.1715323921
526	0.1712319704
527	0.1710479269
528	0.170807652
529	0.1703619986
530	0.1701222216
531	0.1697818026
532	0.1695187834
533	0.1691441479
534	0.1686849792
535	0.1682784879
536	0.1681407924
537	0.1677369653
538	0.1673146851
539	0.1671623397
540	0.1669331128
541	0.1665057153
542	0.1660719018
543	0.1655930325
544	0.1653317825
545	0.164979251
546	0.1647202218
547	0.1643353464
548	0.164112028
549	0.1639263557
550	0.1636919733
551	0.1634176018
552	0.162966635
553	0.1627749051
554	0.1623586396
555	0.1620722725
556	0.1618674503
557	0.161456687
558	0.1611640682
559	0.1610280994
560	0.160676189
561	0.1604488613
562	0.1601066105
563	0.1598395683
564	0.1594642998
565	0.1591816629
566	0.1590221409
567	0.1587147288
568	0.1585216208
569	0.1583788032
570	0.158229498
571	0.1580578232
572	0.1578559356
573	0.1576061022
574	0.1572972855
575	0.1570577337
576	0.1567184778
577	0.1564443707
578	0.1560913902
579	0.1557447733
580	0.1554631809
581	0.1552924557
582	0.1549980713
583	0.1547042719
584	0.1544728514
585	0.1542485596
586	0.1540503196
587	0.1537417261
588	0.1533736549
589	0.1529747649
590	0.1526041941
591	0.1523935595
592	0.1521839699
593	0.1519421859
594	0.1517212871
595	0.1514047065
596	0.1511008351
597	0.1508795248
598	0.1504917593
599	0.1503147634
600	0.1501820973
601	0.1498829988
602	0.149595344
603	0.1493683199
604	0.1490382364
605	0.1486866684
606	0.1485235837
607	0.1483213849
608	0.1481250318
609	0.1479806823
610	0.1477141112
611	0.147317834
612	0.1470745975
613	0.1469293463
614	0.1465665733
615	0.1463594688
616	0.1461667737
617	0.1459486396
618	0.1456777428
619	0.1455499394
620	0.1452358518
621	0.1447756648
622	0.1445091338
623	0.1442498523
624	0.1440372069
625	0.1437751784
626	0.1436047681
627	0.1433608759
628	0.1429847057
629	0.1426964321
630	0.142549958
631	0.1423498929
632	0.1420936658
633	0.1418716818
634	0.1415623142
635	0.1411906988
636	0.1409225738
637	0.1406842404
638	0.1404215453
639	0.1402570462
640	0.1398718419
641	0.1397205999
642	0.1393196932
643	0.1391442877
644	0.1389979154
645	0.1388058681
646	0.1387516997
647	0.1386201913
648	0.1385233306
649	0.1382906316
650	0.1380925036
651	0.1379321009
652	0.1376940288
653	0.1375169677
654	0.1373519355
655	0.1370563433
656	0.1368155512
657	0.1365350988
658	0.1363839252
659	0.1361417029
660	0.1358187441
661	0.1355806499
662	0.1353112161
663	0.1351093927
664	0.1348616759
665	0.134591099
666	0.134374681
667	0.1342360838
668	0.1339134476
669	0.1336128821
670	0.1332558444
671	0.1330446586
672	0.1328260113
673	0.1326886902
674	0.1324306463
675	0.1322550416
676	0.1321177526
677	0.1318907058
678	0.131549466
679	0.1312236835
680	0.1309281328
681	0.1306543462
682	0.1305061678
683	0.1302868555
684	0.1300378372
685	0.1298280979
686	0.129617953
687	0.1293841273
688	0.1291377083
689	0.1288716962
690	0.1286843475
691	0.1284560297
692	0.1280989161
693	0.1278333866
694	0.1275362379
695	0.1271892364
696	0.1270439589
697	0.1269117771
698	0.126689895
699	0.1264530432
700	0.1261700285
701	0.1259321428
702	0.1257055356
703	0.1255730243
704	0.1253215858
705	0.1250785677
706	0.1247557082
707	0.1245159516
708	0.1243214743
709	0.1241266443
710	0.123954955
711	0.1237686725
712	0.1234733862
713	0.1233139621
714	0.1231091019
715	0.1228146392
716	0.122673539
717	0.1224618397
718	0.1222786058
719	0.1220530087
720	0.121850496
721	0.1216457907
722	0.1214914245
723	0.1212743467
724	0.1211540226
725	0.1208703108
726	0.120634942
727	0.1204968031
728	0.1203409845
729	0.1202018665
730	0.120053435
731	0.1197318351
732	0.1194981389
733	0.1193426168
734	0.1191040946
735	0.1188819606
736	0.1186726244
737	0.1185335985
738	0.1182942736
739	0.1181085369
740	0.1178630714
741	0.1176191906
742	0.1173484056
743	0.1171867344
744	0.1169263882
745	0.1167812932
746	0.1166286699
747	0.1164015421
748	0.1161080701
749	0.1158814567
750	0.115670968
751	0.1154518508
752	0.1152213093
753	0.1149653028
754	0.1148048383
755	0.1145886211
756	0.1144557385
757	0.1142515425
758	0.1141157477
759	0.113961874
760	0.1137745543
761	0.1136024568
762	0.1134289248
763	0.1131828664
764	0.1129323184
765	0.1126706422
766	0.1124810063
767	0.1123872013
